Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
6,439425051;1;42,4885;0,03082;37,251;38,56;39,87;41,179;42,488;43,798;45,107;46,417;47,726
6,472279261;1;42,5093;0,03081;37,27;38,58;39,89;41,2;42,509;43,819;45,129;46,438;47,748
6,50513347;1;42,53;0,03081;37,289;38,599;39,909;41,22;42,53;43,84;45,151;46,461;47,771
6,53798768;1;42,5506;0,0308;37,308;38,619;39,929;41,24;42,551;43,861;45,172;46,482;47,793
6,570841889;1;42,5711;0,0308;37,326;38,638;39,949;41,26;42,571;43,882;45,193;46,505;47,816
6,603696099;1;42,5915;0,03079;37,346;38,657;39,969;41,28;42,592;43,903;45,214;46,526;47,837
6,636550308;1;42,6117;0,03079;37,364;38,676;39,988;41,3;42,612;43,924;45,236;46,548;47,86
6,669404517;1;42,6319;0,03079;37,381;38,694;40,007;41,319;42,632;43,945;45,257;46,57;47,882
6,702258727;1;42,6519;0,03078;37,401;38,713;40,026;41,339;42,652;43,965;45,278;46,59;47,903
6,735112936;1;42,6719;0,03078;37,418;38,732;40,045;41,358;42,672;43,985;45,299;46,612;47,926
6,767967146;1;42,6917;0,03077;37,437;38,751;40,064;41,378;42,692;44,005;45,319;46,633;47,946
6,800821355;1;42,7115;0,03077;37,455;38,769;40,083;41,397;42,712;44,026;45,34;46,654;47,968
6,833675565;1;42,7311;0,03077;37,472;38,787;40,101;41,416;42,731;44,046;45,361;46,676;47,99
6,866529774;1;42,7507;0,03076;37,491;38,806;40,121;41,436;42,751;44,066;45,381;46,696;48,011
6,899383984;1;42,7701;0,03076;37,508;38,823;40,139;41,454;42,77;44,086;45,401;46,717;48,033
6,932238193;1;42,7894;0,03075;37,526;38,842;40,158;41,474;42,789;44,105;45,421;46,737;48,052
6,965092402;1;42,8087;0,03075;37,543;38,86;40,176;41,492;42,809;44,125;45,441;46,758;48,074
6,997946612;1;42,8278;0,03075;37,56;38,877;40,194;41,511;42,828;44,145;45,462;46,779;48,096
7,030800821;1;42,8469;0,03074;37,578;38,896;40,213;41,53;42,847;44,164;45,481;46,798;48,115
7,063655031;1;42,8658;0,03074;37,595;38,913;40,23;41,548;42,866;44,183;45,501;46,819;48,137
7,09650924;1;42,8846;0,03073;37,613;38,931;40,249;41,567;42,885;44,202;45,52;46,838;48,156
7,12936345;1;42,9034;0,03073;37,63;38,948;40,267;41,585;42,903;44,222;45,54;46,859;48,177
7,162217659;1;42,922;0,03073;37,646;38,965;40,284;41,603;42,922;44,241;45,56;46,879;48,198
7,195071869;1;42,9406;0,03072;37,664;38,983;40,302;41,621;42,941;44,26;45,579;46,898;48,217
7,227926078;1;42,9591;0,03072;37,68;39;40,32;41,639;42,959;44,279;45,599;46,918;48,238
7,260780287;1;42,9774;0,03072;37,696;39,017;40,337;41,657;42,977;44,298;45,618;46,938;48,258
7,293634497;1;42,9957;0,03071;37,714;39,035;40,355;41,675;42,996;44,316;45,636;46,957;48,277
7,326488706;1;43,0139;0,03071;37,73;39,051;40,372;41,693;43,014;44,335;45,656;46,977;48,298
7,359342916;1;43,032;0,0307;37,748;39,069;40,39;41,711;43,032;44,353;45,674;46,995;48,316
7,392197125;1;43,05;0,0307;37,763;39,085;40,407;41,728;43,05;44,372;45,693;47,015;48,337
7,425051335;1;43,0679;0,0307;37,779;39,101;40,424;41,746;43,068;44,39;45,712;47,034;48,357
7,457905544;1;43,0857;0,03069;37,796;39,119;40,441;41,763;43,086;44,408;45,73;47,053;48,375
7,490759754;1;43,1034;0,03069;37,812;39,135;40,458;41,781;43,103;44,426;45,749;47,072;48,395
7,523613963;1;43,1211;0,03069;37,828;39,151;40,474;41,798;43,121;44,444;45,768;47,091;48,415
7,556468172;1;43,1386;0,03068;37,845;39,168;40,492;41,815;43,139;44,462;45,786;47,109;48,433
7,589322382;1;43,1561;0,03068;37,86;39,184;40,508;41,832;43,156;44,48;45,804;47,128;48,452
7,622176591;1;43,1734;0,03067;37,877;39,201;40,525;41,849;43,173;44,498;45,822;47,146;48,47
7,655030801;1;43,1907;0,03067;37,892;39,217;40,541;41,866;43,191;44,515;45,84;47,165;48,489
7,68788501;1;43,2079;0,03067;37,907;39,232;40,558;41,883;43,208;44,533;45,858;47,183;48,509
7,72073922;1;43,225;0,03066;37,924;39,249;40,574;41,9;43,225;44,55;45,876;47,201;48,526
7,753593429;1;43,2421;0,03066;37,939;39,265;40,59;41,916;43,242;44,568;45,894;47,22;48,545
7,786447639;1;43,259;0,03066;37,954;39,28;40,606;41,933;43,259;44,585;45,912;47,238;48,564
7,819301848;1;43,2759;0,03065;37,97;39,297;40,623;41,949;43,276;44,602;45,929;47,255;48,582
7,852156057;1;43,2926;0,03065;37,985;39,312;40,639;41,966;43,293;44,62;45,946;47,273;48,6
7,885010267;1;43,3093;0,03065;38;39,327;40,654;41,982;43,309;44,637;45,964;47,292;48,619
7,917864476;1;43,3259;0,03064;38,016;39,343;40,671;41,998;43,326;44,653;45,981;47,308;48,636
7,950718686;1;43,3424;0,03064;38,03;39,358;40,686;42,014;43,342;44,67;45,998;47,326;48,654
